Model,Scenario,whose,prtp,eta,scc
IMAGE,SSP1-19,independent,0.0,1.0,126.76013584539427
IMAGE,SSP1-19,independent,0.0,2.0,33.685914392729515
IMAGE,SSP1-19,average,0.0,1.0,1000.711796382109
IMAGE,SSP1-19,average,0.0,2.0,5975.109244671113
IMAGE,SSP1-19,poorest,0.0,1.0,5.220192009736472
IMAGE,SSP1-19,poorest,0.0,2.0,0.16259259653497984
IMAGE,SSP1-19,independent,0.01,1.0,52.58511420571319
IMAGE,SSP1-19,independent,0.01,2.0,18.560235473382424
IMAGE,SSP1-19,average,0.01,1.0,402.2689088936968
IMAGE,SSP1-19,average,0.01,2.0,3374.154655274207
IMAGE,SSP1-19,poorest,0.01,1.0,2.0984272910184196
IMAGE,SSP1-19,poorest,0.01,2.0,0.09181632402803376
IMAGE,SSP1-19,independent,0.02,1.0,27.502598454331633
IMAGE,SSP1-19,independent,0.02,2.0,12.060357106129805
IMAGE,SSP1-19,average,0.02,1.0,204.20138375483216
IMAGE,SSP1-19,average,0.02,2.0,2222.229629121886
IMAGE,SSP1-19,poorest,0.02,1.0,1.0652122176514032
IMAGE,SSP1-19,poorest,0.02,2.0,0.06047054048729456
GCAM4,SSP4-34,independent,0.0,1.0,138.14353946682579
GCAM4,SSP4-34,independent,0.0,2.0,37.022362143864186
GCAM4,SSP4-34,average,0.0,1.0,1043.2164714798546
GCAM4,SSP4-34,average,0.0,2.0,6140.12046339651
GCAM4,SSP4-34,poorest,0.0,1.0,5.438704486758654
GCAM4,SSP4-34,poorest,0.0,2.0,0.16688563073493815
GCAM4,SSP4-34,independent,0.01,1.0,56.7737847439601
GCAM4,SSP4-34,independent,0.01,2.0,19.899524498248393
GCAM4,SSP4-34,average,0.01,1.0,418.69988132381883
GCAM4,SSP4-34,average,0.01,2.0,3438.9070340792746
GCAM4,SSP4-34,poorest,0.01,1.0,2.1828498546719355
GCAM4,SSP4-34,poorest,0.01,2.0,0.09346790064500955
GCAM4,SSP4-34,independent,0.02,1.0,29.32460581294395
GCAM4,SSP4-34,independent,0.02,2.0,12.679790121148981
GCAM4,SSP4-34,average,0.02,1.0,211.39822967121034
GCAM4,SSP4-34,average,0.02,2.0,2246.7586449540195
GCAM4,SSP4-34,poorest,0.02,1.0,1.1021034767354616
GCAM4,SSP4-34,poorest,0.02,2.0,0.0610658595067556
MESSAGE-GLOBIOM,SSP2-45,independent,0.0,1.0,142.96368154368966
MESSAGE-GLOBIOM,SSP2-45,independent,0.0,2.0,38.60819454233206
MESSAGE-GLOBIOM,SSP2-45,average,0.0,1.0,1042.5100082542997
MESSAGE-GLOBIOM,SSP2-45,average,0.0,2.0,6115.031134635515
MESSAGE-GLOBIOM,SSP2-45,poorest,0.0,1.0,5.434603903145882
MESSAGE-GLOBIOM,SSP2-45,poorest,0.0,2.0,0.1661781804475152
MESSAGE-GLOBIOM,SSP2-45,independent,0.01,1.0,58.58701915306806
MESSAGE-GLOBIOM,SSP2-45,independent,0.01,2.0,20.468509820772336
MESSAGE-GLOBIOM,SSP2-45,average,0.01,1.0,420.3812121386797
MESSAGE-GLOBIOM,SSP2-45,average,0.01,2.0,3423.062094225173
MESSAGE-GLOBIOM,SSP2-45,poorest,0.01,1.0,2.191446948431387
MESSAGE-GLOBIOM,SSP2-45,poorest,0.01,2.0,0.09302294916460889
MESSAGE-GLOBIOM,SSP2-45,independent,0.02,1.0,30.10570595093521
MESSAGE-GLOBIOM,SSP2-45,independent,0.02,2.0,12.915903644731008
MESSAGE-GLOBIOM,SSP2-45,average,0.02,1.0,212.53464988087535
MESSAGE-GLOBIOM,SSP2-45,average,0.02,2.0,2234.113529062877
MESSAGE-GLOBIOM,SSP2-45,poorest,0.02,1.0,1.107942972874174
MESSAGE-GLOBIOM,SSP2-45,poorest,0.02,2.0,0.06071284233861465
AIM/CGE,SSP3-60,independent,0.0,1.0,157.74808279735524
AIM/CGE,SSP3-60,independent,0.0,2.0,41.08745239203182
AIM/CGE,SSP3-60,average,0.0,1.0,1150.6862902592236
AIM/CGE,SSP3-60,average,0.0,2.0,6433.236498973583
AIM/CGE,SSP3-60,poorest,0.0,1.0,5.998177289015555
AIM/CGE,SSP3-60,poorest,0.0,2.0,0.17480515505550406
AIM/CGE,SSP3-60,independent,0.01,1.0,62.1339569827281
AIM/CGE,SSP3-60,independent,0.01,2.0,21.13008226776368
AIM/CGE,SSP3-60,average,0.01,1.0,445.26785564996527
AIM/CGE,SSP3-60,average,0.01,2.0,3499.182820929055
AIM/CGE,SSP3-60,poorest,0.01,1.0,2.321045763643024
AIM/CGE,SSP3-60,poorest,0.01,2.0,0.09508047709386275
AIM/CGE,SSP3-60,independent,0.02,1.0,31.06191044171728
AIM/CGE,SSP3-60,independent,0.02,2.0,13.120961314883791
AIM/CGE,SSP3-60,average,0.02,1.0,218.72963004607874
AIM/CGE,SSP3-60,average,0.02,2.0,2252.028515366666
AIM/CGE,SSP3-60,poorest,0.02,1.0,1.140170966216696
AIM/CGE,SSP3-60,poorest,0.02,2.0,0.061192557413503386
REMIND-MAGPIE,SSP5-Baseline,independent,0.0,1.0,154.62815572920263
REMIND-MAGPIE,SSP5-Baseline,independent,0.0,2.0,41.29876389629671
REMIND-MAGPIE,SSP5-Baseline,average,0.0,1.0,1116.8795579492587
REMIND-MAGPIE,SSP5-Baseline,average,0.0,2.0,6418.502623058858
REMIND-MAGPIE,SSP5-Baseline,poorest,0.0,1.0,5.822147041455668
REMIND-MAGPIE,SSP5-Baseline,poorest,0.0,2.0,0.17441642389664966
REMIND-MAGPIE,SSP5-Baseline,independent,0.01,1.0,61.74936084872807
REMIND-MAGPIE,SSP5-Baseline,independent,0.01,2.0,21.277636216169164
REMIND-MAGPIE,SSP5-Baseline,average,0.01,1.0,439.1983067015189
REMIND-MAGPIE,SSP5-Baseline,average,0.01,2.0,3504.5660335419984
REMIND-MAGPIE,SSP5-Baseline,poorest,0.01,1.0,2.28948332322397
REMIND-MAGPIE,SSP5-Baseline,poorest,0.01,2.0,0.0952330957510393
REMIND-MAGPIE,SSP5-Baseline,independent,0.02,1.0,31.097039831697053
REMIND-MAGPIE,SSP5-Baseline,independent,0.02,2.0,13.202564056060055
REMIND-MAGPIE,SSP5-Baseline,average,0.02,1.0,217.83751668834023
REMIND-MAGPIE,SSP5-Baseline,average,0.02,2.0,2257.3782238130543
REMIND-MAGPIE,SSP5-Baseline,poorest,0.02,1.0,1.1355584801227863
REMIND-MAGPIE,SSP5-Baseline,poorest,0.02,2.0,0.0613420076771749
